ward_key,correct_ward,correct_subcounty,correct_county
Vanga,Vanga,Lungalunga,Kwale
Miritini,Miritini,Jomvu,Mombasa
Nyayo Highri E,Nyayo Highrise,Langata,Nairobi
Ka Gunga,Kasgunga,Mbita,Homa Bay
Kobura,Kobura,Nyando,Kisumu
Central Seme,Central Seme,Seme,Kisumu
South We T Nyakach,South West Nyakach,Nyakach,Kisumu
South Ea T Nyakach,South East Nyakach,Nyakach,Kisumu
Kajulu,Kajulu,Kisumu East,Kisumu
Kabonyo Kanyangwal,Kabonyo/Kanyagwal,Nyando,Kisumu
Manyatta B,Manyatta B,Kisumu East,Kisumu
Ea T Kano Wawidhi,East Kano/Wawidhi,Nyando,Kisumu
Ki Umu North,Kisumu North,Kisumu West,Kisumu
We T Ki Umu,West Kisumu,Kisumu West,Kisumu
Kapkateny,Kapkateny,Mt.Elgon,Bungoma
Waithaka,Waithaka,Dagoretti South,Nairobi
Frere Town,Frere Town,Nyali,Mombasa
dandora_area_v,Dandora Area I,Embakasi North,Nairobi
We T A Embo,West Asembo,Rarieda,Siaya
Junda,Junda,Kisauni,Mombasa
Kadzandani,Kadzandani,Nyali,Mombasa
Bamburi,Bamburi,Kisauni,Mombasa
Muhoroni Koru,Muhoroni/Koru,Muhoroni,Kisumu
Umoja I,Umoja I,Embakasi West,Nairobi
Korogocho,Korogocho,Ruaraka,Nairobi
Njiru,Njiru,Kasarani,Nairobi
Mikindani,Mikindani,Jomvu,Mombasa
Ahero,Ahero,Nyando,Kisumu
Mathare North,Mathare North,Ruaraka,Nairobi
Riruta,Riruta,Dagoretti South,Nairobi
Ka Arani,Kasarani,Kasarani,Nairobi
Central Nyakach,Central Nyakach,Nyakach,Kisumu
Ea T A Embo,East Asembo,Rarieda,Siaya
We T Seme,West Seme,Seme,Kisumu
Kongowea,Kongowea,Nyali,Mombasa
Awa I Onjiko,Awasi/Onjiko,Nyando,Kisumu
North Seme,North Seme,Seme,Kisumu
Shika Adabu,Shika Adabu,Likoni,Mombasa
Kibarani,Kibarani,Kilifi North,Kilifi
Nyalenda B,Nyalenda B,Kisumu Central,Kisumu
North Nyakach,North Nyakach,Nyakach,Kisumu
Tudor,Tudor,Mvita,Mombasa
Shanzu,Shanzu,Kisauni,Mombasa
Ongata Rongai,Ongata Rongai,Kajiado North,Kajiado
Airport,Airport,Changamwe,Mombasa
Mtopanga,Mtopanga,Kisauni,Mombasa
Kondele,Kondele,Kisumu Central,Kisumu
Chaani,Chaani,Changamwe,Mombasa
Ngong,Ngong,Kajiado North,Kajiado
Mowlem,Mowlem,Embakasi West,Nairobi
Ka Emeni,Kasemeni,Kinango,Kwale
Ombeyi,Ombeyi,Muhoroni,Kisumu
Changamwe,Changamwe,Changamwe,Mombasa
Ruai,Ruai,Kasarani,Nairobi
Uthiru,Uthiru,Kabete,Kiambu
Timbwani,Timbwani,Likoni,Mombasa
Rabai Ki Urutini,Rabai/Kisurutini,Rabai,Kilifi
Embaka I,Embakasi,Embakasi East,Nairobi
Kariobangi South,Kariobangi South,Embakasi West,Nairobi
Migindani,Mikindani,Jomvu,Mombasa
dandora_area_iv,Dandora Area I,Embakasi North,Nairobi
Kolwa Ea T,Kolwa East,Kisumu East,Kisumu
Mwakirunge,Mwakirunge,Kisauni,Mombasa
Central Ki Umu,Central Kisumu,Kisumu West,Kisumu
Likoni,Likoni,Likoni,Mombasa
Kariobangi North,Kariobangi North,Embakasi North,Nairobi
Migo I,Migosi,Kisumu Central,Kisumu
Gembe,Gembe,Mbita,Homa Bay
Lower Savannah,Lower Savannah,Embakasi East,Nairobi
Mfangano I Land,Mfangano Island,Mbita,Homa Bay
Ea T Seme,East Seme,Seme,Kisumu
Lucky Summer,Lucky Summer,Ruaraka,Nairobi
Ziwa La Ngombe,Ziwa La NgOmbe,Nyali,Mombasa
South Gem,South Gem,Gem,Siaya
Kipevu,Kipevu,Changamwe,Mombasa
Kwa Reuben,Kwa Reuben,Embakasi South,Nairobi
Port Reitz,Port Reitz,Changamwe,Mombasa
Kayole Central,Kayole Central,Embakasi Central,Nairobi
manda-shivanga,Manda Shivanga,Malava,Kakamega
Cheptai,Cheptais,Mt.Elgon,Bungoma
Mjambere,Mjambere,Kisauni,Mombasa
Komarock,Komarock,Embakasi Central,Nairobi
Sidindi,Sidindi,Ugunja,Siaya
Kayole North,Kayole North,Embakasi Central,Nairobi
Baba Dogo,Baba Dogo,Ruaraka,Nairobi
Ru Inga I Land,Rusinga Island,Mbita,Homa Bay
Kianda,Kimana,Kajiado South,Kajiado
Kangemi,Kangemi,Westlands,Nairobi
Ea Tleigh South,Eastleigh South,Kamukunji,Nairobi
Kibra,Kibarani,Kilifi North,Kilifi
