lookup_subcounty,ward_raw,ward_corrected
Kibra,Arangombe,Sarangombe
Mathare,Ho Pital,Hospital
Embakasi East,Lower Avannah,Lower Savannah
Bobasi,Boba I Boitangare,Bobasi Boitangare
Embakasi North,Dandora Area Iv V,Dandora Area IV/V
Kisumu Central,Railway,Railways
Kilifi North,Okoni,Sokoni
Kapseret,Langa,Langas
Alego Usonga,Iaya Town Hip,Siaya Township
Starehe,Nairobi Outh,Nairobi South
Nambale,Nambale Town Hip,Nambale Township
Matungulu,Matungulu We T,Matungulu West
Bondo,We T Akwa,West Sakwa
Roysambu,Roy Ambu,Roysambu
Lurambi,Heywe,Sheywe
Mbita,Ka Gunga,Kasgunga
Gem,Ea T Gem,East Gem
Kasarani,Ka Arani,Kasarani
Tetu,Aguthi Gaaki,Aguthi/Gaaki
Suba,Kak Ingri We T,Kaksingri West
Kabondo Kasipul,Kabondo Ea T,Kabondo East
Ndhiwa,Kanyamwa Ko Ewe,Kanyamwa Kosewe
Alego Usonga,Outh Ea T Alego,South East Alego
Kuria West,I Ibania,Isibania
Kamukunji,Ea Tleigh Outh,Eastleigh South
Suna East,Una Central,Suna Central
Embakasi North,Dandora Area Iv,Dandora Area I
Vihiga,Outh Maragoli,South Maragoli
Langata,Nyayo Highri E,Nyayo Highrise
Rarieda,We T A Embo,West Asembo
Machakos Town,Machako Central,Machakos Central
Awendo,Outh Akwa,South Sakwa
Kasipul,Outh Ka Ipul,South Kasipul
Starehe,Ziwani Kariokor,Ziwani/Kariokor
Bondo,North Akwa,North Sakwa
Kabuchai,Kabuchai Chwele,Kabuchai/Chwele
Magarini,Gara Hi,Garashi
Kisumu West,North We T Ki Umu,North West Kisumu
Bondo,Central Akwa,Central Sakwa
Kisumu East,Kolwa Ea T,Kolwa East
Ugenya,Ea T Ugenya,East Ugenya
Ugunja,Igomere,Sigomere
Kisumu West,We T Ki Umu,West Kisumu
Alego Usonga,U Onga,Usonga
Kasipul,Central Ka Ipul,Central Kasipul
Rarieda,Ea T A Embo,East Asembo
Ugenya,We T Ugenya,West Ugenya
Gem,We T Gem,West Gem
Rangwe,Ea T Gem,East Gem
Mumias East,Ea T Wanga,East Wanga
Roysambu,Kahawa We T,Kahawa West
Suna West,Wa Weta Ii,Wasweta Ii
Kuria West,Ma Aba,Masaba
Luanda,Luanda Town Hip,Luanda Township
Kilifi South,Cha Imba,Chasimba
Shinyalu,I Ukha Central,Isukha Central
Nyeri Town,Kamakwa Mukaro,Kamakwa/Mukaro
Nyakach,Outh Ea T Nyakach,South East Nyakach
Emuhaya,North Ea T Bunyore,North East Bunyore
Nyeri Town,Gatitu Muruguru,Gatitu/Muruguru
Bondo,We T Yimbo,West Yimbo
Hamisi,Hiru,Shiru
Kisumu West,Central Ki Umu,Central Kisumu
Kamukunji,Ea Tleigh North,Eastleigh North
Muhoroni,Ma Ogo Nyang'Oma,Masogo/Nyang'oma
Kilifi North,Mat Angoni,Matsangoni
Nyando,Kabonyo Kanyagwal,Kabonyo/Kanyagwal
Ikolomani,Idakho Ea T,Idakho East
Gem,Outh Gem,South Gem
Seme,Central Eme,Central Seme
Bondo,Yimbo Ea T,Yimbo East
Matayos,Matayo Outh,Matayos South
Uriri,Outh Kanyamkago,South Kanyamkago
Homa Bay Town,Homa Bay Ea T,Homa Bay East
Westlands,Parkland Highridge,Parklands/Highridge
Kiharu,Town Hip,Township
Rabai,Kambe Ribe,Kambe/Ribe
Awendo,Central Akwa,Central Sakwa
Rongo,Ea T Kamagambo,East Kamagambo
Buuri,Kiirua Naari,Kiirua/Naari
Alego Usonga,We T Alego,West Alego
Nyakach,We T Nyakach,West Nyakach
Kasipul,Ea T Kamagak,East Kamagak
Kiminini,Ikhendu,Sikhendu
Suba,Gwa I Outh,Gwassi South
Kanduyi,Bukembe We T,Bukembe West
Likoni,Hika Adabu,Shika Adabu
Mvita,Mji Wa Kale Makadara,Mji Wa Kale/Makadara
Makadara,Maringo Hamza,Maringo/Hamza
Gem,Yala Town Hip,Yala Township
Bondo,Outh Akwa,South Sakwa
Awendo,We T Akwa,West Sakwa
Teso South,Chakol Outh,Chakol South
Embakasi East,Embaka I,Embakasi
Kuria West,Nyamo En E Komo Oko,Nyamosense/Komosoko
Westlands,Kiti Uru,Kitisuru
Kibra,Laini Aba,Laini Saba
Kisumu Central,Haurimoyo Kaloleni,Shaurimoyo Kaloleni
Seme,We T Eme,West Seme
Rangwe,We T Gem,West Gem
Embakasi North,Dandora Area V,Dandora Area I
Machakos Town,Muvuti Kiima Kimwe,Muvuti/Kiima Kimwe
Rarieda,We T Uyoma,West Uyoma
Kamukunji,Airba E,Airbase
Ganze,Okoke,Sokoke
Mvita,Himanzi Ganjoni,Shimanzi/Ganjoni
Kisumu Central,Migo I,Migosi
Kibra,Woodley Kenyatta Golf,Woodley/Kenyatta Golf
Kilifi North,Daba O,Dabaso
Buuri,Ruiri Rwarera,Ruiri/Rwarera
Kisumu West,Outh We T Ki Umu,South West Kisumu
Bumula,Outh Buku U,South Bukusu
Kabondo Kasipul,Kabondo We T,Kabondo West
Ugunja,Idindi,Sidindi
Rabai,Rabai Ki Urutini,Rabai/Kisurutini
Butere,Marama We T,Marama West
Kuria West,Bukira Ea T,Bukira East
South Imenti,Abogeta We T,Abogeta West
North Imenti,Nyaki Ea T,Nyaki East
Igembe South,Kiegoi Antubochiu,Kiegoi/Antubochiu
Rarieda,Outh Uyoma,South Uyoma
Uriri,We T Kanyamkago,West Kanyamkago
Embakasi Central,Kayole Outh,Kayole South
Kabondo Kasipul,Kokwanyo Kakelo,Kokwanyo/Kakelo
Luanda,Luanda Outh,Luanda South
Emuhaya,We T Bunyore,West Bunyore
Awendo,North Akwa,North Sakwa
Nyando,Awa I Onjiko,Awasi/Onjiko
Buuri,Ki Ima,Kisima
Bobasi,Ameta Mokwerero,Sameta/Mokwerero
Navakholo,Bunyala Ea T,Bunyala East
Nyando,Ea T Kano Wawidhi,East Kano/Wawidhi
Rongo,Outh Kamagambo,South Kamagambo
Hamisi,Gi Ambai,Gisambai
Bondo,We T Sakwa,West Sakwa
Kasipul,We T Kamagak,West Kamagak
Kasipul,We T Ka Ipul,West Kasipul
North Imenti,Nyaki We T,Nyaki West
Embakasi East,Upper Avannah,Upper Savannah
Kanduyi,Marakaru Tuuti,Marakaru/Tuuti
Kuria West,Bukira Centrl Ikerege,Bukira Centrl/Ikerege
Kanduyi,Town Hip,Township
Uriri,Ea T Kanyamkago,East Kanyamkago
Kitutu Chache South,Bogu Ero,Bogusero
Sotik,Rongena Manaret,Rongena/Manaret
Matungulu,Matungulu Ea T,Matungulu East
Ruaraka,Lucky Ummer,Lucky Summer
Kanduyi,Mu Ikoma,Musikoma
Cherangany,Inyerere,Sinyerere
South Imenti,Abogeta Ea T,Abogeta East
Kibra,Sarang'Ombe,Sarangombe
Mbita,Mfangano I Land,Mfangano Island
Kilifi South,Himo La Tewa,Shimo La Tewa
Seme,North Eme,North Seme
Central Imenti,Abothuguchi We T,Abothuguchi West
Chepalungu,Iongiroi,Siongiroi
Karachuonyo,We T Karachuonyo,West Karachuonyo
Dagoretti North,Kilele Hwa,Kileleshwa
Lurambi,But Ot O Ea T,Butsotso East
Seme,Ea T Eme,East Seme
Nyeri Town,Kiganjo Mathari,Kiganjo/Mathari
Kangundo,Kangundo We T,Kangundo West
North Imenti,Ntima We T,Ntima West
Mukurweini,Mukurwe Ini We T,Mukurwe Ini West
Lurambi,Hirere,Shirere
Nyakach,Outh We T Nyakach,South West Nyakach
Embakasi West,Kariobangi Outh,Kariobangi South
Sabatia,We T Abatia,West Sabatia
Khwisero,Ki A Central,Kisa Central
North Imenti,Ntima Ea T,Ntima East
Bumula,Kha Oko,Khasoko
Kiminini,Nabi Wa,Nabiswa
Ruiru,Bia Hara,Biashara
Rabai,Mwawe A,Mwawesa
Kisauni,Hanzu,Shanzu
Nyaribari Chache,Ki Ii Central,Kisii Central
Suba,Ruma Kak Ingri Ea T,Ruma Kaksingri East
Teso South,Amukura We T,Amukura West
Muhoroni,Muhoroni Koru,Muhoroni/Koru
Nyatike,Kanya A,Kanyasa
Khwisero,Ki A North,Kisa North
Mwala,Makutano Mwala,Makutano/ Mwala
Mbita,Ru Inga I Land,Rusinga Island
Nambale,Bukhayo North Walt I,Bukhayo North/Waltsi
Bomachoge Chache,Bo Oti Engera,Bosoti/Sengera
Ikolomani,Idakho Outh,Idakho South
Suna West,Wa Imbete,Wasimbete
Bomet East,Longi A,Longisa
Nakuru Town West,Haabab,Shaabab
Sabatia,Bu Ali,Busali
Bumula,Iboti,Siboti
Igembe Central,Igembe Ea T,Igembe East
Hamisi,Hamakhokho,Shamakhokho
Mwala,Ma Ii,Masii
Kisumu West,Ki Umu North,Kisumu North
Kanduyi,Ea T Angalo,East SangAlo
Shinyalu,I Ukha Ea T,Isukha East
Bobasi,Boba I Central,Bobasi Central
Muhoroni,Ma Ogo Nyangoma,Masogo/Nyang'oma
Mbooni,Kithungo Kitundu,Kithungo/Kitundu
Dagoretti South,Uthiru Ruthimitu,Uthiru/Ruthimitu
Kanduyi,Angalo We T,SangAlo West
Saboti,Aboti,Saboti
Homa Bay Town,Homa Bay We T,Homa Bay West
Cherangany,Itatunga,Sitatunga
Suba,Gwa I North,Gwassi North
Kiminini,Irende,Sirende
Kangundo,Kangundo Ea T,Kangundo East
Langata,Nairobi We T,Nairobi West
Bomet Central,Che Oen,Chesoen
Malava,Butali Chegulo,Butali/Chegulo
Kiambu,Town Hip,Township
Bomet Central,Ingorwet,Singorwet
Nambale,Bukhayo Ea T,Bukhayo East
Masinga,Muthe Ya,Muthesya
Kesses,Cheptiret Kipchamo,Cheptiret/Kipchamo
Sirisia,Malaki I Outh Kuli Iru,Malakisi/South Kulisiru
Matayos,Bu Ibwabo,Busibwabo
Langata,Outh C,South C
Khwisero,Ki A Ea T,Kisa East
Nyaribari Masaba,Ma Imba,Masimba
Bumula,We T Buku U,West Bukusu
Matayos,Bukhayo We T,Bukhayo West
Malindi,Hella,Shella
Nyatike,Macalder Kanyarwanda,Macalder/Kanyarwanda
Kieni,Mwiyogo Endara Ha,Mwiyogo/Endarasha
Ainabkoi,Kap Oya,Kapsoya
Butere,Marama Outh,Marama South
Lurambi,But Ot O Outh,Butsotso South
Bobasi,Boba I Bogetaorio,Bobasi Bogetaorio
Bobasi,Ma Ige Ea T,Masige East
Kesses,Racecour E,Racecourse
Lurambi,But Ot O Central,Butsotso Central
Mumias East,Lubinu Lu Heya,Lubinu/Lusheya
Mumias West,Mumia Central,Mumias Central
Navakholo,Bunyala We T,Bunyala West
Bomachoge Chache,Boochi Tendere,Boochi/Tendere
Voi,Agalla,Sagalla
Wundanyi,Wumingu Ki Hu He,Wumingu/Kishushe
South Imenti,Igoji Ea T,Igoji East
Ndhiwa,Kabuoch Outh Pala,Kabuoch South/Pala
Butere,Marenyo Hianda,Marenyo Shianda
Khwisero,Ki A We T,Kisa West
Malava,Manda Hivanga,Manda Shivanga
Mbooni,Ki Au Kiteta,Kisau/Kiteta
Nakuru Town East,Bia Hara,Biashara
Budalangi,Bunyala We T,Bunyala West
Shinyalu,I Ukha North,Isukha North
Nakuru Town East,Nakuru Ea T,Nakuru East
Kapseret,Imat Kap Eret,Simat/Kapseret
Soy,Kuinet Kap U Wa,Kuinet/Kapsuswa
Webuye West,Mi Ikhu,Misikhu
Wundanyi,Wundanyi Mbale,Wundanyi/Mbale
Kesses,Tulwet Chuiyat,Tulwet/Chuiyat
Sotik,Kip Onoi,Kipsonoi
Malava,We T Kabra,West Kabras
Mumias West,Mumia North,Mumias North
Mavoko,Yokimau Mulolongo,Syokimau/Mulolongo
Shinyalu,I Ukha We T,Isukha West
Saboti,Mati I,Matisi
Turbo,Kap Ao,Kapsaos
Kanduyi,Bukembe Ea T,Bukembe East
Ruiru,Kahawa Ukari,Kahawa Sukari
Kinango,Ka Emeni,Kasemeni
Malava,Ea T Kabra,East Kabras
Limuru,Limuru Ea T,Limuru East
Makueni,Muvau Kikuumini,Muvau/Kikuumini
Gatanga,Kakuzi Mitubiri,Kakuzi/Mitubiri
Embakasi Central,Kayole  Outh,Kayole South
Embakasi East,Lower  Avannah,Lower Savannah
Embakasi South,Njenga,Kwa Njenga
Cherangany,Moto Iet,Motosiet
Malava,Hirugu Mugai,Shirugu Mugai
