location_id,site_code,site_name
3f097371fc50474eb9002cac1eb556e4,KBR,Kibera
9936df5f4b37448e83ce2a85b939c440,MTH,Mathare
71e0807631d840ba8a89fa97c510acba,MKU,Mukuru
fc6c8d93630b4cb09356e7c0e0c980da,KWW,Kawangware
db322d7f6cbc4dafb06b00123f5dafcb,KYO,Kayole
5f249458d94548ed9cec467d4836e948,KRO,Korogocho
e86b29deaaef4ff39a11042beccb2d81,DND,Dandora
5da3a5992bc14e889d7fa39d7e8034f1,GTH,Githogoro
2f230e7252664ffa8b17fd89fc53228c,KMJ,Kamkunji
e01eacc116de4a6c9deffc119bc3c0a8,MKR,Makadara
8f1a024998124ea0add3e0df15207203,MKN,Makina
17158cb994144d82a8496f1c15bd475d,KDA,Kianda
87655b35e1a14504bec16a05dabd0037,BDG,Bangladesh
c267656ccd414ee89ce0476aec0d1581,MWI,Maweni
70d025731e3a4d918d22ef1ade842dc3,MSR,Mshomoroni
fc936369731d4419a01948ca2209beb7,LKN,Likoni
9c594880230145659e6de7b7155d5628,KFN,Kilifi North
6f1c7419e2b64ea0bed5f6690bd0a8a7,KFS,Kilifi South
3258aaf0ff19448dba2ff1357c14daa9,CGW,Changamwe
ebfde11d066d4026a3becc27783d87e9,NYL,Nyalenda
0ba2ad5f8d174b5dbbd80f772c94fe8b,OBG,Obunga
b5563db814fb4134adeba5be46d7d708,MYT,Manyatta
01af34feddbd4e758ed4b1391e91506b,AHR,Ahero
a053f7b87b3049069dbf7962090fd4c8,SME,Seme
42454685661e4df0bff10709f4444d42,KKG,Kakamega
cc3709c5760d4a6fb3025997c16ae7cf,VHG,Vihiga
0ff88d6903984569bd4444a679832ba1,SYA,Siaya
512acfbcbeb643f89842d882858650fa,NYD,Nyando
e9caa351dc3742819ef11cbd1d83afca,WAP,Wape Wape
8a9542c5ef4748088504f8eb3373d563,MRB,Mukuru kwa Rueben
7fe865af15af4137b50467c591848bd0,RYB,Roysambu
cd16636daff346f0a362784ffdb6f7b1,MCK,Machakos
7b9749c27f0d460593ec29dd08c536d3,HBY,Homabay
e5348265408343fba5b83b59e19d9f28,NAK,Nakuru
13a455ee8dcb47ffb1e6af2130d120c2,KIC,Kisumu Central
1c3246e01d5e470d835ce179abafc946,KIW,Kisumu West
673cb1d66b8c4adc82483000effa9247,KIE,Kisumu East
3740bcaa61a94340b34255aa1fc0b10f,NCH,Nyakach
005074356cc44d02b3a4353fe6300dd5,MUH,Muhoroni
