location_id,source_primary_key,county_id,county_code,county_name,constituency_id,constituency_name,ward_id,ward_name,deleted,location_name_key
152,c61d64d433b640afa6142970dc3fb471,garissa,GRS,Garissa,fafi,Fafi,bura,Bura,N,GRS_fafi_bura
407,38f8de1be42c4de18279cdcc2c13fb72,machakos,MCK,Machakos,mwala,Mwala,masii,Masii,N,MCK_mwala_masii
1,6159ba4d91da416a8ffded566e5ca5a0,mombasa,MSA,Mombasa,changamwe,Changamwe,port_reitz,Port Reitz,N,MSA_changamwe_port_reitz
2,de04f738574843fc803a33715199b3ae,mombasa,MSA,Mombasa,changamwe,Changamwe,kipevu,Kipevu,N,MSA_changamwe_kipevu
3,77ea9faf12b644f587cc7f3851e5a7f6,mombasa,MSA,Mombasa,changamwe,Changamwe,airport,Airport,N,MSA_changamwe_airport
4,5411aa465b7b4298bbd671d72a38e5c1,mombasa,MSA,Mombasa,changamwe,Changamwe,changamwe,Changamwe,N,MSA_changamwe_changamwe
5,bfd8168e21aa4d638920dfcedc319f80,mombasa,MSA,Mombasa,changamwe,Changamwe,chaani,Chaani,N,MSA_changamwe_chaani
6,cd6b833ec6564168b0f320f2381592ed,mombasa,MSA,Mombasa,jomvu,Jomvu,jomvu_kuu,Jomvu Kuu,N,MSA_jomvu_jomvu_kuu
7,3839f53821994570ab4421b486361fbe,mombasa,MSA,Mombasa,jomvu,Jomvu,miritini,Miritini,N,MSA_jomvu_miritini
8,e17ef009310a468985d83da383e762e3,mombasa,MSA,Mombasa,jomvu,Jomvu,mikindani,Mikindani,N,MSA_jomvu_mikindani
9,1dfbc26d199e4291a275d53eb442e05e,mombasa,MSA,Mombasa,kisauni,Kisauni,mjambere,Mjambere,N,MSA_kisauni_mjambere
10,d289fa0a30444442a09f34e3634703a3,mombasa,MSA,Mombasa,kisauni,Kisauni,junda,Junda,N,MSA_kisauni_junda
11,922afa11bd9e450aaef5c640c932dbe3,mombasa,MSA,Mombasa,kisauni,Kisauni,bamburi,Bamburi,N,MSA_kisauni_bamburi
12,09ea565ba3b84af3ac3471197502982f,mombasa,MSA,Mombasa,kisauni,Kisauni,mwakirunge,Mwakirunge,N,MSA_kisauni_mwakirunge
13,822fd0a9cfc14e4a933d01f23118309c,mombasa,MSA,Mombasa,kisauni,Kisauni,mtopanga,Mtopanga,N,MSA_kisauni_mtopanga
14,e1d7024a2d77431096c8adee2173b6e8,mombasa,MSA,Mombasa,kisauni,Kisauni,magogoni,Magogoni,N,MSA_kisauni_magogoni
15,53614e1bd1e3449a8c21efab8411c4e8,mombasa,MSA,Mombasa,kisauni,Kisauni,shanzu,Shanzu,N,MSA_kisauni_shanzu
16,e82b6f3c5080478a99e8a6ae584b9cea,mombasa,MSA,Mombasa,nyali,Nyali,frere_town,Frere Town,N,MSA_nyali_frere_town
17,bc20bba356f14db8a5442d9df710e196,mombasa,MSA,Mombasa,nyali,Nyali,ziwa_la_ngombe,Ziwa La NgOmbe,N,MSA_nyali_ziwa_la_ngombe
18,627e89f7bfa54601b4be22d18e1a4e14,mombasa,MSA,Mombasa,nyali,Nyali,mkomani,Mkomani,N,MSA_nyali_mkomani
19,6f3db6cbfa5e4d87821852cb4f68367a,mombasa,MSA,Mombasa,nyali,Nyali,kongowea,Kongowea,N,MSA_nyali_kongowea
20,b25838096cd24f6aa949ba68970c5110,mombasa,MSA,Mombasa,nyali,Nyali,kadzandani,Kadzandani,N,MSA_nyali_kadzandani
21,9dbb60c147c249948f27b5d6c4250a78,mombasa,MSA,Mombasa,likoni,Likoni,mtongwe,Mtongwe,N,MSA_likoni_mtongwe
22,02b7f683743b452e9f1f6d4ababbdbdc,mombasa,MSA,Mombasa,likoni,Likoni,shika_adabu,Shika Adabu,N,MSA_likoni_shika_adabu
23,6e436a54b3c74acb97e790757169b248,mombasa,MSA,Mombasa,likoni,Likoni,bofu,Bofu,N,MSA_likoni_bofu
24,65e14f3ab3fe4c8ea98eb2aa017e35d6,mombasa,MSA,Mombasa,likoni,Likoni,likoni,Likoni,N,MSA_likoni_likoni
25,e206d7a8f358485690b7188c7ec859bf,mombasa,MSA,Mombasa,likoni,Likoni,timbwani,Timbwani,N,MSA_likoni_timbwani
26,804d898d02b74a418a99b5f73596fe43,mombasa,MSA,Mombasa,mvita,Mvita,mji_wa_kale_makadara,Mji Wa Kale/Makadara,N,MSA_mvita_mji_wa_kale_makadara
27,a679610603f14a4ba1755463d575600e,mombasa,MSA,Mombasa,mvita,Mvita,tudor,Tudor,N,MSA_mvita_tudor
28,d4952dddedc947b88d76b9121d4f8ced,mombasa,MSA,Mombasa,mvita,Mvita,tononoka,Tononoka,N,MSA_mvita_tononoka
29,76caf54bd5f643559bce5c3fec86b9b1,mombasa,MSA,Mombasa,mvita,Mvita,shimanzi_ganjoni,Shimanzi/Ganjoni,N,MSA_mvita_shimanzi_ganjoni
30,699c5116ed5348968892ded4dbf1e14b,mombasa,MSA,Mombasa,mvita,Mvita,majengo,Majengo,N,MSA_mvita_majengo
31,8f1daa1245684b68abb3e1fae5823942,kwale,KWL,Kwale,msambweni,Msambweni,gombatobongwe,Gombatobongwe,N,KWL_msambweni_gombatobongwe
32,262aebf9de7d4b4f89a4b5655c39234c,kwale,KWL,Kwale,msambweni,Msambweni,ukunda,Ukunda,N,KWL_msambweni_ukunda
33,9c5678b67bba4eab92edc7644dd803e6,kwale,KWL,Kwale,msambweni,Msambweni,kinondo,Kinondo,N,KWL_msambweni_kinondo
34,9f90409da9274c81b86f6ec0429d360c,kwale,KWL,Kwale,msambweni,Msambweni,ramisi,Ramisi,N,KWL_msambweni_ramisi
35,2beab455d79b40018feeaf31efa4d792,kwale,KWL,Kwale,lungalunga,Lungalunga,pongwekikoneni,Pongwekikoneni,N,KWL_lungalunga_pongwekikoneni
36,250bea02e6a649da9b6137bed0fad781,kwale,KWL,Kwale,lungalunga,Lungalunga,dzombo,Dzombo,N,KWL_lungalunga_dzombo
37,ba6525a7e36949f3a01a256b771ba4eb,kwale,KWL,Kwale,lungalunga,Lungalunga,mwereni,Mwereni,N,KWL_lungalunga_mwereni
38,d17fb975ab634a9eab82f163903a57d4,kwale,KWL,Kwale,lungalunga,Lungalunga,vanga,Vanga,N,KWL_lungalunga_vanga
39,88b6e8c76e324f8a86b258018d02317b,kwale,KWL,Kwale,matuga,Matuga,tsimba_golini,Tsimba Golini,N,KWL_matuga_tsimba_golini
40,8c3e61a486b14fa6803db049e403239e,kwale,KWL,Kwale,matuga,Matuga,waa,Waa,N,KWL_matuga_waa
41,d791ed9952634e5bb4f15f20d30b3c59,kwale,KWL,Kwale,matuga,Matuga,tiwi,Tiwi,N,KWL_matuga_tiwi
42,540e6d50e97340b2becc719ba17cd925,kwale,KWL,Kwale,matuga,Matuga,kubo_south,Kubo South,N,KWL_matuga_kubo_south
43,1354862bcc434fee87e4761f3f8073e6,kwale,KWL,Kwale,matuga,Matuga,mkongani,Mkongani,N,KWL_matuga_mkongani
